VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
233,34.77,28.34,294,3,H,499.9/11.6/152.4,1.6/24.5,1.6/26.1,1.6,0,24.5,26.1905,0,0,1.6,24.5,26.1905,26.1,27.9009,42.9009,499.9,11.6,152.4,,,499.9,0,0.003,0.000,0.003,31.429,0.000,31.429,2.699,152.400,2.183,11.600,1.064,39.2716,1028.54326,278855.85
234,35.3,28.38,295,4,HA,369.4/56.8/136.1/452.3,1.3/5.7/13.21,1.3/7.0/60.21,1.3,5.7,13.21,14.12149,0,0,7,13.21,14.12149,20.21,21.60449,36.60449,369.4,56.8,136.1,452.3,,369.4,56.8,0.004,0.100,0.104,16.946,0.000,16.946,2.567,452.300,2.655,56.800,1.754,8.9234,126.01112,237929.19
235,34.29,28.07,324,3,H,157.1/36.2/391.9,1.2/23.0,1.2/24.2,1.2,0,23,24.587,0,0,1.2,23,24.587,24.2,25.8698,40.8698,157.1,36.2,391.9,,,157.1,0,0.008,0.000,0.008,29.504,0.000,29.504,2.196,391.900,2.593,36.200,1.559,13.5840,333.98929,265653.70
236,34.75,28.01,372,3,H,233.4/72.8/706.5,1.8/27.0,1.8/28.7,1.8,0,27,28.863,0,0,1.8,27,28.863,28.8,30.7872,45.7872,233.4,72.8,706.5,,,233.4,0,0.008,0.000,0.008,34.636,0.000,34.636,2.368,706.500,2.849,72.800,1.862,7.0792,204.32738,297616.80
237,34.71,28.1,366,3,H,69.4/15.7/3375.6,8.2/26,8.2/34.2,8.2,0,26,27.794,0,0,8.2,26,27.794,34.2,36.5598,51.5598,69.4,15.7,3375.6,,,69.4,0,0.118,0.000,0.118,33.353,0.000,33.353,1.841,3375.600,3.528,15.700,1.196,29.6119,823.03271,335138.70
238,35.23,29.52,318,3,H,261.5/52.4/1649.5,4.2/15.0,4.2/19.2,4.2,0,15,16.035,0,0,4.2,15,16.035,19.2,20.5248,35.5248,261.5,52.4,1649.5,,,261.5,0,0.016,0.000,0.016,19.242,0.000,19.242,2.417,1649.500,3.217,52.400,1.719,9.6204,154.26318,230911.20
239,35.93,29.28,154,3,H,205.0/56.1/307.4,2.0/41.2,2.0/43.2,2,0,41.2,44.0428,0,0,2,41.2,44.0428,43.2,46.1808,61.1808,205,56.1,307.4,,,205,0,0.010,0.000,0.010,52.851,0.000,52.851,2.312,307.400,2.488,56.100,1.749,9.0272,397.58227,397675.20
240,34.49,28.63,305,3,H,158.0/42.2/2504.7,3.2/13.8,3.2/17.0,3.2,0,13.8,14.7522,0,0,3.2,13.8,14.7522,17,18.173,33.173,158,42.2,2504.7,,,158,0,0.020,0.000,0.020,17.703,0.000,17.703,2.199,2504.700,3.399,42.200,1.625,11.7733,173.68155,215624.50
241,34.99,28.83,427,3,HK,125.6/63.0/191.5,1.5/3.1/27.5,1.5/4.6/32.1,1.5,3.1,27.5,29.3975,0,0,4.6,27.5,29.3975,32.1,34.3149,49.3149,125.6,63,191.5,,,125.6,63,0.012,0.049,0.061,35.277,0.000,35.277,2.099,191.500,2.282,63.000,1.799,8.1014,238.15992,320546.85
242,34.27,28.75,332,3,A,56.6/135.1/718.1,6.2/21.2,6.2/17.4,6.2,0,21.2,22.6628,0,0,6.2,21.2,22.6628,27.4,29.2906,44.2906,56.6,135.1,718.1,,,56.6,0,0.110,0.000,0.110,27.195,0.000,27.195,1.753,718.100,2.856,135.100,2.131,3.9765,90.11798,287888.90
243,34.47,29.26,314,3,H,152.6/64.9/187.9,1.1/13.6,1.1/14.6,1.1,0,13.6,14.5384,0,0,1.1,13.6,14.5384,14.7,15.7143,30.7143,152.6,64.9,187.9,,,152.6,0,0.007,0.000,0.007,17.446,0.000,17.446,2.184,187.900,2.274,64.900,1.812,7.8799,114.56119,199642.95
244,35.1,28.77,357,3,H,294.5/216.7/518.5,11.0/9.1,11.0/10.1,11,0,9.1,9.7279,0,0,11,9.1,9.7279,20.1,21.4869,36.4869,294.5,216.7,518.5,,,294.5,0,0.037,0.000,0.037,11.673,0.000,11.673,2.469,518.500,2.715,216.700,2.336,2.5590,24.89413,237164.85
245,34.27,28.58,298,3,H,77.5/8.6/48.7,2.6/18.6,2.6/21.2,2.6,0,18.6,19.8834,0,0,2.6,18.6,19.8834,21.2,22.6628,37.6628,77.5,8.6,48.7,,,77.5,0,0.034,0.000,0.034,23.860,0.000,23.860,1.889,48.700,1.688,8.600,0.934,51.9169,1032.28491,244808.20
246,35.29,28.04,378,4,KH,256.6/406.9/247.3/567.6,1.0/6.0/19.5,1.0/7.0/26.5,1,6,19.5,20.8455,0,0,7,19.5,20.8455,26.5,28.3285,43.3285,256.6,406.9,247.3,567.6,,256.6,406.9,0.004,0.015,0.019,25.015,0.000,25.015,2.409,567.600,2.754,247.300,2.393,2.2624,47.16048,281635.25
247,35.67,28.33,342,3,H,327.9/42.9/1154.5,2.1/21.2,2.1/23.3,2.1,0,21.2,22.6628,0,0,2.1,21.2,22.6628,23.3,24.9077,39.9077,327.9,42.9,1154.5,,,327.9,0,0.006,0.000,0.006,27.195,0.000,27.195,2.516,1154.500,3.062,42.900,1.632,11.5940,262.75171,259400.05
248,35.42,28.11,351,3,H,185.6/77.9/135.8,1.3/6.8,1.3/8.1,1.3,0,6.8,7.2692,0,0,1.3,6.8,7.2692,8.1,8.6589,23.6589,185.6,77.9,135.8,,,185.6,0,0.007,0.000,0.007,8.723,0.000,8.723,2.269,135.800,2.133,77.900,1.892,6.6459,48.31042,153782.85
249,32.16,29.33,280,3,H,234.8/62.2/437.9,2.6/22.4,2.6/25.0,2.6,0,22.4,23.9456,0,0,2.6,22.4,23.9456,25,26.725,41.725,234.8,62.2,437.9,,,234.8,0,0.011,0.000,0.011,28.735,0.000,28.735,2.371,437.900,2.641,62.200,1.794,8.1985,196.31856,271212.50
250,32.79,28.22,325,3,H,126.9/19.0/78.3,1.8/5.0,1.8/6.8,1.8,0,5,5.345,0,0,1.8,5,5.345,6.8,7.2692,22.2692,126.9,19,78.3,,,126.9,0,0.014,0.000,0.014,6.414,0.000,6.414,2.103,78.300,1.894,19.000,1.279,24.7843,132.47231,144749.80
251,33.61,28.66,304,3,H,85.8/19.4/1244.0,0.8/31,0.8/31.8,0.8,0,31,33.139,0,0,0.8,31,33.139,31.8,33.9942,48.9942,85.8,19.4,1244,,,85.8,0,0.009,0.000,0.009,39.767,0.000,39.767,1.933,1244.000,3.095,19.400,1.288,24.3073,805.52019,318462.30
252,33.46,28.52,299,4,HA,184.4/107.8/897.5/987.3,5.8/18.7/36.2,5.8/24.5/60.7,5.8,18.7,36.2,38.6978,0,0,24.5,36.2,38.6978,60.7,64.8883,79.8883,184.4,107.8,897.5,987.3,,184.4,107.8,0.031,0.173,0.205,46.437,0.000,46.437,2.266,987.300,2.994,17.800,1.250,26.3395,1019.28141,519273.95
253,33.52,28.51,304,3,H,175.5/36.3/549.3,1.7/25.0,1.7/26.7,1.7,0,25,26.725,0,0,1.7,25,26.725,26.7,28.5423,43.5423,175.5,36.3,549.3,,,175.5,0,0.010,0.000,0.010,32.070,0.000,32.070,2.244,549.300,2.740,36.300,1.560,13.5491,362.09884,283024.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMUM,,,,,,,,,12.7,39.9,62.2,66.4918,27.6,29.5044,40.8,62.2,66.4918,81.3,86.9097,101.9097,2524.2,3325,17762.3,6308.1,1544,2524.2,3325,0.317829457,0.847826087,0.861303176,79.79016,5.16327,79.79016,3.402123762,17762.3,4.249499201,936,2.971275849,93.06721749,3710.93431,662413.05
MINIMUM,,,,,,,,,0.3,0,2.4,2.5656,0,0,0.4,2.4,2.5656,3.3,3.5277,18.5277,12.4,4.6,7,25.2,142.9,12.4,0,0.000356549,0,0.000356549,3.07872,0,3.07872,1.093421685,25.2,1.401400541,4.6,0.662757832,0.653644886,6.205594016,120430.05
