VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
183,33.78,31.82,285,3,H,44.1/28.5/270.5,1.0/28.0,1.0/28.9,1,0,28,29.932,0,0,1,28,29.932,29,31.001,46.001,44.1,28.5,270.5,,,44.1,0,0.023,0.000,0.023,35.918,0.000,35.918,1.644,270.500,2.432,8.500,0.929,52.4865,1571.02464,299006.50
184,32.82,32.45,300,3,H,700.6/67.6/370.4,3.1/12.8,3.1/15.9,3.1,0,12.8,13.6832,0,0,3.1,12.8,13.6832,15.9,16.9971,31.9971,700.6,67.6,370.4,,,700.6,0,0.004,0.000,0.004,16.420,0.000,16.420,2.845,370.400,2.569,67.600,1.830,7.5859,103.79958,207981.15
185,35.15,31.67,314,3,H,160.8/54.9/162.4,0.9/12.0,0.9/12.8,0.9,0,12,12.828,0,0,0.9,12,12.828,12.9,13.7901,28.7901,160.8,54.9,162.4,,,160.8,0,0.006,0.000,0.006,15.394,0.000,15.394,2.206,162.400,2.211,54.900,1.740,9.2111,118.16009,187135.65
186,33.85,33.05,356,3,H,130.1/107.1/2933.6,2.3/24.9,2.3/27.2,2.3,0,24.9,26.6181,0,0,2.3,24.9,26.6181,27.2,29.0768,44.0768,130.1,107.1,2933.6,,,130.1,0,0.018,0.000,0.018,31.942,0.000,31.942,2.114,2933.600,3.467,107.100,2.030,4.9384,131.45153,286499.20
187,35.21,30.49,308,4,HK,111.7/48.0/255.7/80.3,1.0/4.1/26.6,1.0/5.1/31.8,1,4.1,26.6,28.4354,0,0,5.1,26.6,28.4354,31.7,33.8873,48.8873,111.7,48,255.7,80.3,,111.7,48,0.009,0.085,0.094,34.122,0.000,34.122,2.048,80.300,1.905,48.000,1.681,10.4406,296.88222,317767.45
188,32.28,32.17,321,3,H,1344.7/116.8/190.5,2.4/13.2,2.4/15.6,2.4,0,13.2,14.1108,0,0,2.4,13.2,14.1108,15.6,16.6764,31.6764,1344.7,116.8,190.5,,,1344.7,0,0.002,0.000,0.002,16.933,0.000,16.933,3.129,190.500,2.280,116.800,2.067,4.5547,64.27115,205896.60
189,33.6,30.94,284,3,H,147.8/17.7/263.6,2.2/26.5,2.2/28.6,2.2,0,26.5,28.3285,0,0,2.2,26.5,28.3285,28.7,30.6803,45.6803,147.8,17.7,263.6,,,147.8,0,0.015,0.000,0.015,33.994,0.000,33.994,2.170,263.600,2.421,17.700,1.248,26.4783,750.09072,296921.95
190,35.08,31.05,310,3,H,143.1/31.9/935.4,1.4/9.8,1.4/11.3,1.4,0,9.8,10.4762,0,0,1.4,9.8,10.4762,11.2,11.9728,26.9728,143.1,31.9,935.4,,,143.1,0,0.010,0.000,0.010,12.571,0.000,12.571,2.156,935.400,2.971,31.900,1.504,15.2847,160.12526,175323.20
191,34.23,30.14,276,3,H,141.5/44.8/305.7,2.3/22.9,2.3/25.2,2.3,0,22.9,24.4801,0,0,2.3,22.9,24.4801,25.2,26.9388,41.9388,141.5,44.8,305.7,,,141.5,0,0.016,0.000,0.016,29.376,0.000,29.376,2.151,305.700,2.485,44.800,1.651,11.1346,272.57664,272602.20
192,34.01,31.52,300,3,H,330.3/34.4/545.4,1.5/14.8,1.5/16.4,1.5,0,14.8,15.8212,0,0,1.5,14.8,15.8212,16.3,17.4247,32.4247,330.3,34.4,545.4,,,330.3,0,0.005,0.000,0.005,18.985,0.000,18.985,2.519,545.400,2.737,34.400,1.537,14.2459,225.38693,210760.55
193,34.99,30.85,284,4,AH,136.2/357.6/75.3/1829.3,2.7/8.5/15.5,2.7/11.2/26.6,2.7,8.5,15.5,16.5695,0,0,11.2,15.5,16.5695,26.7,28.5423,43.5423,136.2,357.6,75.3,1829.3,,136.2,357.6,0.020,0.024,0.044,19.883,0.000,19.883,2.134,1829.300,3.262,75.300,1.877,6.8597,113.66215,283024.95
194,32.83,32.58,319,3,H,877.7/80.0/1230.8,1.2/21.4,1.2/22.7,1.2,0,21.4,22.8766,0,0,1.2,21.4,22.8766,22.6,24.1594,39.1594,877.7,80,1230.8,,,877.7,0,0.001,0.000,0.001,27.452,0.000,27.452,2.943,1230.800,3.090,80.000,1.903,6.4830,148.30957,254536.10
195,32.12,31.64,289,3,H,224.0/28.7/8692.8,1.5/17.5,1.5/19,1.5,0,17.5,18.7075,0,0,1.5,17.5,18.7075,19,20.311,35.311,224,28.7,8692.8,,,224,0,0.007,0.000,0.007,22.449,0.000,22.449,2.350,8692.800,3.939,28.700,1.458,16.8687,315.57087,229521.50
196,34.8,32.38,302,3,H,497.1/65.9/3657.8,1.6/14.7,1.6/16.3,1.6,0,14.7,15.7143,0,0,1.6,14.7,15.7143,16.3,17.4247,32.4247,497.1,65.9,3657.8,,,497.1,0,0.003,0.000,0.003,18.857,0.000,18.857,2.696,3657.800,3.563,65.900,1.819,7.7683,122.07347,210760.55
197,35.17,30.25,320,3,H,790.2/267.8/377.2,11.1/9.1,11.1/20.1,11.1,0,9.1,9.7279,0,0,11.1,9.1,9.7279,20.2,21.5938,36.5938,790.2,267.8,377.2,,,790.2,0,0.014,0.000,0.014,11.673,0.000,11.673,2.898,377.200,2.577,267.800,2.428,2.1004,20.43251,237859.70
198,33.54,32.54,308,4,HA,106.9/39.8/857.5/295.5,1.1/8.6/23.7,1.1/9.7/33.4,1.1,8.6,23.7,25.3353,0,0,9.7,23.7,25.3353,33.4,35.7046,50.7046,106.9,39.8,857.5,295.5,,106.9,857.5,0.010,0.010,0.020,30.402,0.000,30.402,2.029,295.500,2.471,39.800,1.600,12.4342,315.02444,329579.90
199,34.75,30.5,307,3,H,198.3/78.5/2122.3,0.9/26.2,0.9/27.1,0.9,0,26.2,28.0078,0,0,0.9,26.2,28.0078,27.1,28.9699,43.9699,198.3,78.5,2122.3,,,198.3,0,0.005,0.000,0.005,33.609,0.000,33.609,2.297,2122.300,3.327,78.500,1.895,6.5985,184.80974,285804.35
200,33.92,32.25,299,3,H,1057.7/27.8/3877.5,0.9/24.2,0.9/25.1,0.9,0,24.2,25.8698,0,0,0.9,24.2,25.8698,25.1,26.8319,41.8319,1057.7,27.8,3877.5,,,1057.7,0,0.001,0.000,0.001,31.044,0.000,31.044,3.024,3877.500,3.589,27.800,1.444,17.3776,449.55402,271907.35
